path,name,method,action,res_type,parent_name,default,display_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,删除站点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/alert_rules,menu_settings_alert_rules,GET,menu,,menu_settings,,告警设置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/alert_rules/list,action_settings_alert_rules_list,GET,action,,menu_settings_alert_rules,,查看规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules,dispatch_rules_list,GET,api,,action_settings_alert_rules_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules/{id},dispatch_rules_view,GET,api,,action_settings_alert_rules_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/alert_rules/create,action_settings_alert_rules_create,GET,action,,menu_settings_alert_rules,,添加规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules,dispatch_rules_create,POST,api,,action_settings_alert_rules_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/alert_rules/update,action_settings_alert_rules_update,GET,action,,menu_settings_alert_rules,,修改规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules/{id},dispatch_rules_view,GET,api,,action_settings_alert_rules_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules/{id},dispatch_rules_update,PATCH,api,,action_settings_alert_rules_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/alert_rules/delete,action_settings_alert_rules_delete,GET,action,,menu_settings_alert_rules,,删除规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules/{id},dispatch_rules_delete,DELETE,api,,action_settings_alert_rules_delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites/tree,site_list,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites,site_create,POST,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites/{id},site_update,PUT,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites/{id},site_delete,DELETE,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users,user_list,GET,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users,user_create,POST,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/{id},user_view,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
